id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id
MCO1240960918,Coraline - Neil Gaiman  ( Libro Fisico ),new,MCO19952903,gold_special,https://www.mercadolibre.com.co/coraline-neil-gaiman-libro-fisico-/p/MCO19952903,buy_it_now,MCO,MCO1196,MCO-BOOKS,48000,1,,True,2043-02-11T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1333.33,0.0,COP
MCO1336139525,"Toda Mafalda - Ediciones De La Flor, De Toda Mafalda. Editorial De La Flor, Tapa Dura En Español, 2001",new,MCO23743274,gold_special,https://www.mercadolibre.com.co/toda-mafalda-ediciones-de-la-flor-de-toda-mafalda-editorial-de-la-flor-tapa-dura-en-espanol-2001/p/MCO23743274,buy_it_now,MCO,MCO1196,MCO-BOOKS,320000,1,,True,2043-09-03T04:00:00.000Z,True,[],,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,394380898,MUNDIALDELIBROS,36.0,8888.89,0.0,COP
MCO1282403765,Poesía Completa ( Libro Y Original),new,MCO21190515,gold_special,https://www.mercadolibre.com.co/poesia-completa-libro-y-original/p/MCO21190515,buy_it_now,MCO,MCO1196,MCO-BOOKS,68300,1,2068.0,True,2043-04-06T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,"['MCO-chg-threshold-Jan-23', 'self_service_in']",,,515528688,E-BOOK S.A.S,36.0,1897.22,0.0,COP
MCO1298156418,Harry Potter Y La Piedra Filosofal (harry Potter 1) J. K. Rowling,new,MCO22061051,gold_special,https://www.mercadolibre.com.co/harry-potter-y-la-piedra-filosofal-harry-potter-1-j-k-rowling/p/MCO22061051,buy_it_now,MCO,MCO1196,MCO-BOOKS,42300,1,2068.0,True,2043-03-05T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,1175.0,0.0,COP
MCO1682048586,Libro Ruge - Daniel Habif,new,MCO22204283,gold_special,https://www.mercadolibre.com.co/libro-ruge-daniel-habif/p/MCO22204283,buy_it_now,MCO,MCO1196,MCO-BOOKS,48500,1,,True,2043-06-24T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1347.22,0.0,COP
MCO1332391741,La Insoportable Levedad Del Ser ( Y Original ),new,MCO21472144,gold_special,https://www.mercadolibre.com.co/la-insoportable-levedad-del-ser-y-original-/p/MCO21472144,buy_it_now,MCO,MCO1196,MCO-BOOKS,55000,1,2068.0,True,2043-08-23T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,1527.78,0.0,COP
MCO1852893464,"Oráculo Ángeles De Luz. Total Cartas: 72: Oráculo Ángeles De Luz. Total Cartas: 72, De Migdalia López Mena. Editorial Ergonomikas, Tapa Dura, Edición 1 En Español, 2022",new,MCO25533703,gold_special,https://www.mercadolibre.com.co/oraculo-angeles-de-luz-total-cartas-72-oraculo-angeles-de-luz-total-cartas-72-de-migdalia-lopez-mena-editorial-ergonomikas-tapa-dura-edicion-1-en-espanol-2022/p/MCO25533703,buy_it_now,MCO,MCO1196,MCO-BOOKS,98000,1,2068.0,True,2043-08-28T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,515528688,E-BOOK S.A.S,36.0,2722.22,0.0,COP
MCO1811111704,Las Siete Leyes Espirituales Del Éxito. Una Guía Practica Para La Realización De Sus Sueños. Deepak Chopra,new,MCO26208185,gold_pro,https://www.mercadolibre.com.co/las-siete-leyes-espirituales-del-exito-una-guia-practica-para-la-realizacion-de-sus-suenos-deepak-chopra/p/MCO26208185,buy_it_now,MCO,MCO1196,MCO-BOOKS,51000,1,,True,2043-08-18T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,438128163,SOLUCIONESONLINE_COLOMBIA_SAS,12.0,4250.0,0.0,COP
MCO1735516358,Los Primeros 90 Días/  Michael D. Watkins( Solo Nuevos),new,MCO22205944,gold_special,https://www.mercadolibre.com.co/los-primeros-90-dias-michael-d-watkins-solo-nuevos/p/MCO22205944,buy_it_now,MCO,MCO1196,MCO-BOOKS,115000,1,,True,2043-07-19T04:00:00.000Z,True,[],,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,394380898,MUNDIALDELIBROS,36.0,3194.44,0.0,COP
MCO1639062148,"Estuche Marian Rojas: Encuentra Tu Persona Vitamina Y Como Hacer Que Te Pasen Cosas Buenas, De Marian Rojas Estapé. Editorial Espasa, Tapa Dura En Español",new,MCO23485050,gold_special,https://www.mercadolibre.com.co/estuche-marian-rojas-encuentra-tu-persona-vitamina-y-como-hacer-que-te-pasen-cosas-buenas-de-marian-rojas-estape-editorial-espasa-tapa-dura-en-espanol/p/MCO23485050,buy_it_now,MCO,MCO1196,MCO-BOOKS,115000,1,,True,2043-06-01T04:00:00.000Z,True,[],,MCO3025,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,394380898,MUNDIALDELIBROS,36.0,3194.44,0.0,COP
MCO1394804763,Santa Biblia Letra Gigante/cierre/fucsia,new,MCO22718688,gold_special,https://www.mercadolibre.com.co/santa-biblia-letra-gigantecierrefucsia/p/MCO22718688,buy_it_now,MCO,MCO1196,MCO-BOOKS,127812,1,,True,2044-02-16T04:00:00.000Z,True,[],,MCO3025,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,39810996,QUANTUM_CONNOR,36.0,3550.33,0.0,COP
MCO1280170977,Boulevard Libro 1,new,MCO20765555,gold_special,https://www.mercadolibre.com.co/boulevard-libro-1/p/MCO20765555,buy_it_now,MCO,MCO1196,MCO-BOOKS,54000,1,,True,2043-03-30T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1500.0,0.0,COP
MCO1336188947,Nosotros En La Luna - Alice Kellen,new,MCO19862319,gold_special,https://www.mercadolibre.com.co/nosotros-en-la-luna-alice-kellen/p/MCO19862319,buy_it_now,MCO,MCO1196,MCO-BOOKS,60000,1,,True,2043-09-03T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1666.67,0.0,COP
MCO1839330536,Diccionario Oxford Pocket Para Estudiantes De Inglés. Españo,new,MCO20590053,gold_special,https://www.mercadolibre.com.co/diccionario-oxford-pocket-para-estudiantes-de-ingles-espano/p/MCO20590053,buy_it_now,MCO,MCO1196,MCO-BOOKS,80000,1,2068.0,True,2043-08-25T04:00:00.000Z,True,[],LIBRERIA EBOOK,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,515528688,E-BOOK S.A.S,36.0,2222.22,0.0,COP
MCO1499137542,Los Compas Y La Entidad. Exe ( Libro Y Original ),new,MCO21329600,gold_special,https://www.mercadolibre.com.co/los-compas-y-la-entidad-exe-libro-y-original-/p/MCO21329600,buy_it_now,MCO,MCO1196,MCO-BOOKS,53000,1,,True,2043-04-20T04:00:00.000Z,True,[],,MCO3025,False,False,cross_docking,me2,['self_service_in'],,,394380898,MUNDIALDELIBROS,36.0,1472.22,0.0,COP
