id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1889062484,Red Hot Chili Peppers What Hits Cd Europeo [],new,MCO21989353,gold_pro,https://www.mercadolibre.com.co/red-hot-chili-peppers-what-hits-cd-europeo-/p/MCO21989353,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,60000,1,,,True,2043-09-02T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5000.0,0.0,COP,
MCO1965087124,Lady Gaga Chromatica Vinilo Limitado Milky Clear Impo,new,MCO22646714,gold_pro,https://www.mercadolibre.com.co/lady-gaga-chromatica-vinilo-limitado-milky-clear-impo/p/MCO22646714,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,155000,1,,,True,2043-10-09T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,"['self_service_out', 'mandatory_free_shipping']",,,181939816,HITMUSICAL DISCOTIENDA,12.0,12916.67,0.0,COP,
MCO1370943393,Dvd Película Kung Fu Panda ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1370943393-dvd-pelicula-kung-fu-panda-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,25900,1,,,True,2043-12-07T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,719.44,0.0,COP,DVD
MCO2007485376,Metallica - Beyond Magnetic - Cd,new,MCO22828321,gold_pro,https://www.mercadolibre.com.co/metallica-beyond-magnetic-cd/p/MCO22828321,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,1,,,True,2043-10-30T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5833.33,0.0,COP,
MCO2082809882,U2 How To Dismantle An Atomic Bomb Cd Cerrado,new,MCO22618145,gold_pro,https://www.mercadolibre.com.co/u2-how-to-dismantle-an-atomic-bomb-cd-cerrado/p/MCO22618145,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,65000,1,,,True,2043-12-01T04:00:00.000Z,True,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5416.67,0.0,COP,
MCO470175794,Lp Vinilo Leo Dan Coleccion Platino 2 Discos Nuevo Sellado ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-470175794-lp-vinilo-leo-dan-coleccion-platino-2-discos-nuevo-sellado-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,250000,1,,,True,2038-05-03T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,43989118,JOTAY2013,36.0,6944.44,0.0,COP,
MCO2164563854,Red Velvet - Full Album What A Chill Kill (versión Package),new,,gold_special,https://articulo.mercadolibre.com.co/MCO-2164563854-red-velvet-full-album-what-a-chill-kill-version-package-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,170000,1,,,True,2044-01-15T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,53442371,JAVASHOPPU,36.0,4722.22,0.0,COP,
MCO818139047,Billie Eilish - Happier Than Ever - Cd Nuevo Original,new,MCO24742546,gold_special,https://articulo.mercadolibre.com.co/MCO-818139047-billie-eilish-happier-than-ever-cd-nuevo-original-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,80000,1,,,True,2041-10-02T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,499571,DISIDENCIA STORE,36.0,2222.22,0.0,COP,
MCO1699848536,Dvd Película The Shining / El Resplandor - Excelente ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1699848536-dvd-pelicula-the-shining-el-resplandor-excelente-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,39900,1,,,True,2043-07-04T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1108.33,0.0,COP,DVD
MCO957680073,Coldplay - Mylo Xyloto / Cd Original / Nuevo,new,MCO22492381,gold_special,https://articulo.mercadolibre.com.co/MCO-957680073-coldplay-mylo-xyloto-cd-original-nuevo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,69900,1,,,True,2042-09-03T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,742646324,RETRORANDOM,36.0,1941.67,0.0,COP,
MCO1318900180,Lp Vinilo Parabellum Sacrilegio Edición2 Colombia 1987,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1318900180-lp-vinilo-parabellum-sacrilegio-edicion2-colombia-1987-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,2100000,1,,,True,2043-03-11T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,58333.33,0.0,COP,
MCO658330188,Javier Vazquez Y Su Salsa - La Verdad,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-658330188-javier-vazquez-y-su-salsa-la-verdad-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,,,True,2041-08-18T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO1307211597,Cd: Fórmula Del Amor: O+t=3 [explosion Ver.],new,MCO22754771,gold_pro,https://articulo.mercadolibre.com.co/MCO-1307211597-cd-formula-del-amor-ot3-explosion-ver-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,203408,1,,,True,2043-06-15T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,1003137057,JOSEARGUELLOCO1,12.0,16950.67,0.0,COP,
MCO447150655,"Lp Vinilo Willie Colon Tiempo Pa, Matar Edi Colombia 1984",used,,gold_special,https://articulo.mercadolibre.com.co/MCO-447150655-lp-vinilo-willie-colon-tiempo-pa-matar-edi-colombia-1984-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,100000,1,,,True,2037-06-29T22:24:02.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2777.78,0.0,COP,
MCO1276749473,Bts Army Bomb Ver.4 K-pop Lightstick Official Original,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1276749473-bts-army-bomb-ver4-k-pop-lightstick-official-original-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,481841,50,,,True,2043-03-23T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,['mandatory_free_shipping'],,,1281530141,CNMERCADORORIENTAL-COR,12.0,40153.42,0.0,COP,
MCO2088326892,Dvd Película El Club De La Pelea - Fight Club - Excelente ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-2088326892-dvd-pelicula-el-club-de-la-pelea-fight-club-excelente-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,39900,1,,,True,2043-12-05T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1108.33,0.0,COP,DVD
MCO451934197,Cassete Marcelo Cezan,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-451934197-cassete-marcelo-cezan-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,12000,1,,,True,2037-07-05T13:22:07.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,[],,,104300330,VENTASLEOJP,,,,,
