id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO2060219712,Pad Mouse Gamer Tech Edición De Lujo Gt600p Color Unico Diseño Impreso Tokyo Ghoul,new,MCO22636787,gold_special,https://www.mercadolibre.com.co/pad-mouse-gamer-tech-edicion-de-lujo-gt600p-color-unico-diseno-impreso-tokyo-ghoul/p/MCO22636787,buy_it_now,MCO,MCO425024,MCO-MOUSE_PADS,18053,18053.0,1,,True,2043-11-24T04:00:00.000Z,True,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,163851562,ESENTIC,,,,,Jaltech
MCO905491400,Memoria Usb Kingston Datatraveler 50 Dt50 16gb 3.1 Gen 1 Plateado Y Verde,new,MCO6332949,gold_pro,https://www.mercadolibre.com.co/memoria-usb-kingston-datatraveler-50-dt50-16gb-31-gen-1-plateado-y-verde/p/MCO6332949,buy_it_now,MCO,MCO5027,MCO-PENDRIVES,24000,,1,,True,2042-06-03T04:00:00.000Z,True,[],MCO1648,False,False,xd_drop_off,me2,[],,,1067162207,SHOP DIGITAL...,12.0,2000.0,0.0,COP,Kingston
MCO1196277477,Multi Puertos Usb Hub 3.0 4 En 1 Tipo C Y Usb Extens Multipl,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1196277477-multi-puertos-usb-hub-30-4-en-1-tipo-c-y-usb-extens-multipl-_JM,buy_it_now,MCO,MCO441516,MCO-USB_HUBS,38990,,1,,True,2043-01-13T04:00:00.000Z,False,[],MCO1648,False,False,xd_drop_off,me2,[],,,36785800,EUVITA-TEC.,36.0,1083.06,0.0,COP,Genérica
MCO555039498,Cable Repuesto Para Disco Duro Externo Tipo C,new,MCO28949619,gold_special,https://articulo.mercadolibre.com.co/MCO-555039498-cable-repuesto-para-disco-duro-externo-tipo-c-_JM,buy_it_now,MCO,MCO431810,MCO-DATA_CABLES_AND_ADAPTERS,16900,,1,,True,2042-02-11T12:39:26.000Z,False,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,26207029,VENTAS ONLINE2020,,,,,ADC.MX
MCO1357352479,60% Teclado Mecanico Gaming Redragon K617 Fizz Con Luz Rgb,new,MCO24027514,gold_pro,https://articulo.mercadolibre.com.co/MCO-1357352479-60-teclado-mecanico-gaming-redragon-k617-fizz-con-luz-rgb-_JM,buy_it_now,MCO,MCO418448,MCO-PC_KEYBOARDS,240000,300000.0,1,,True,2044-02-04T16:13:13.869Z,False,[],MCO1648,False,True,fulfillment,me2,"['fulfillment', 'mandatory_free_shipping']",,,363416880,KIONES_CO,12.0,20000.0,0.0,COP,Redragon
MCO1982465760,Ubiquiti Fuente 802.3af Gigabit U-poe-af Inyector 48v 15w,new,MCO27114820,gold_special,https://www.mercadolibre.com.co/ubiquiti-fuente-8023af-gigabit-u-poe-af-inyector-48v-15w/p/MCO27114820,buy_it_now,MCO,MCO414121,MCO-POE_INJECTORS,68000,,1,,True,2043-10-19T04:00:00.000Z,True,[],MCO1648,False,False,xd_drop_off,me2,[],,,215873960,TODO REDES163,36.0,1888.89,0.0,COP,Ubiquiti
MCO2134026872,Estuche Forro Funda Smart Case Cristal Transparente Acrilico,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-2134026872-estuche-forro-funda-smart-case-cristal-transparente-acrilico-_JM,buy_it_now,MCO,MCO85773,MCO-TABLET_COVERS,75905,79900.0,500,,True,2043-12-31T04:00:00.000Z,False,[],MCO1648,False,True,xd_drop_off,me2,['self_service_in'],,,1481345013,TEAMSAFARI,12.0,6325.42,0.0,COP,Genérica
MCO2187621094,Viewsonic Omni Vx-pc-mhd Monitor De Juegos Curvado De 32 Pu. Color Negro 100v/240v,new,MCO19798870,gold_special,https://www.mercadolibre.com.co/viewsonic-omni-vx-pc-mhd-monitor-de-juegos-curvado-de-32-pu-color-negro-100v240v/p/MCO19798870,buy_it_now,MCO,MCO1656,MCO-COMPUTER_MONITORS,1152900,,1,,True,2044-01-26T04:00:00.000Z,True,[],MCO1648,False,True,cross_docking,me2,['mandatory_free_shipping'],,,94904012,COMPRATELO SAS,36.0,32025.0,0.0,COP,ViewSonic
MCO613166002,Switch 5 Puertos 1000mbps Lan Rj45 Suiche De Red Gibabit,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-613166002-switch-5-puertos-1000mbps-lan-rj45-suiche-de-red-gibabit-_JM,buy_it_now,MCO,MCO1708,MCO-NETWORK_SWITCHES,58900,,50,,True,2041-03-18T04:00:00.000Z,False,[],MCO1648,False,False,cross_docking,me2,['self_service_in'],,,191222360,MEDELLINELECTRONICA,36.0,1636.11,0.0,COP,Medellín Electrónica
MCO1170022610,Mcafee Internet Protection - Hasta 10 Dispositivos - 1 Año,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1170022610-mcafee-internet-protection-hasta-10-dispositivos-1-ano-_JM,buy_it_now,MCO,MCO441681,MCO-ANTIVIRUS_AND_INTERNET_SECURITY,31439,39800.0,50,,True,2042-12-26T04:00:00.000Z,False,[],MCO1648,False,True,not_specified,not_specified,[],,,1094407256,ROJASSONIA20220323001948,12.0,2619.92,0.0,COP,McAfee
MCO1387866821,Teclado Mecánico Gaming Redragon K636clo Rgb Color Del Teclado Negro Idioma Inglés Us,new,MCO29039269,gold_special,https://www.mercadolibre.com.co/teclado-mecanico-gaming-redragon-k636clo-rgb-color-del-teclado-negro-idioma-ingles-us/p/MCO29039269,buy_it_now,MCO,MCO418448,MCO-PC_KEYBOARDS,198104,,1,,True,2044-01-27T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,1185038794,MOVIECELL CESAR,36.0,5502.89,0.0,COP,Redragon
MCO1977769116, Smart Case Cristal Para iPad 10.2/10ma 10.9 Air4-5/ Pro 11,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1977769116-smart-case-cristal-para-ipad-10210ma-109-air4-5-pro-11-_JM,buy_it_now,MCO,MCO85773,MCO-TABLET_COVERS,68000,,1,,True,2043-10-16T04:00:00.000Z,False,[],MCO1648,False,False,xd_drop_off,me2,['self_service_in'],,,1045894339,HYV STORE,12.0,5666.67,0.0,COP,Genérica
MCO1387057347,Monitor Gamer Acer Nitro Curvo 32 Pulgadas Full Hd 165 Hz Ed320qr,new,MCO23077939,gold_special,https://www.mercadolibre.com.co/monitor-gamer-acer-nitro-curvo-32-pulgadas-full-hd-165-hz-ed320qr/p/MCO23077939,buy_it_now,MCO,MCO1656,MCO-COMPUTER_MONITORS,1170000,,1,,True,2044-01-25T04:00:00.000Z,True,[],MCO1648,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,220437267,SYACOMPUTADORES,36.0,32500.0,0.0,COP,Acer
MCO838304259,Tablet Samsung Tab S7 Fe Wifi Spen 128gb 6gb + Teclado Plata,new,MCO18521904,gold_special,https://articulo.mercadolibre.com.co/MCO-838304259-tablet-samsung-tab-s7-fe-wifi-spen-128gb-6gb-teclado-plata-_JM,buy_it_now,MCO,MCO82067,MCO-TABLETS,3023897,3599900.0,1,,True,2041-11-26T04:00:00.000Z,False,[],MCO1648,False,True,cross_docking,me2,"['self_service_in', 'mandatory_free_shipping']",,,50557397,TWIDO COLOMBIA,36.0,83997.14,0.0,COP,Samsung
