id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,available_quantity,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1958367656,Cd Halloween Keeper Of The Seven Keys Part Ii,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1958367656-cd-halloween-keeper-of-the-seven-keys-part-ii-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,59000,1,True,2043-10-06T04:00:00.000Z,False,[],MCO1168,False,True,drop_off,me2,[],,,1103043220,MUSICA DISCOLASER,12.0,4916.67,0.0,COP,
MCO453396522,Lp Vinilo Recordando A El Club Del Clan Varios Interpre 1990,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-453396522-lp-vinilo-recordando-a-el-club-del-clan-varios-interpre-1990-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2037-07-27T17:50:18.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2500.0,0.0,COP,
MCO512071492,Lp Vinilo Jorge Siles & Dominican York En Mi Mundo Usa 1989,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-512071492-lp-vinilo-jorge-siles-dominican-york-en-mi-mundo-usa-1989-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,100000,1,True,2039-05-02T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2777.78,0.0,COP,
MCO560703279,Disco Vinilo Def Leppard Love Bites 45rpm Printed Canada1987,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-560703279-disco-vinilo-def-leppard-love-bites-45rpm-printed-canada1987-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,90000,1,True,2040-04-25T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2500.0,0.0,COP,
MCO564053471,Farid Ortiz - Mi Mejor Eleccion  Lp,used,,gold_pro,https://articulo.mercadolibre.com.co/MCO-564053471-farid-ortiz-mi-mejor-eleccion-lp-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,70000,1,True,2040-07-27T02:25:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,5833.33,0.0,COP,
MCO1282036981,Blu-ray + Dvd Batman: Gotham By Gaslight / Dc Universe Movie,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1282036981-blu-ray-dvd-batman-gotham-by-gaslight-dc-universe-movie-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,54900,1,True,2043-04-05T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,1525.0,0.0,COP,
MCO565692848,Cuco Valoy - Grandes Éxitos Cd. Nuevo,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-565692848-cuco-valoy-grandes-exitos-cd-nuevo-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,40000,1,True,2040-07-27T02:25:16.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,3333.33,0.0,COP,
MCO580131162,Lp Vinilo Grupo Venus Edicion Colombia 1974,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-580131162-lp-vinilo-grupo-venus-edicion-colombia-1974-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,150000,1,True,2040-08-26T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,4166.67,0.0,COP,
MCO594330297,Lp Vinilo Donna Summer A Love Trilogy  Edic Usa  1976,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-594330297-lp-vinilo-donna-summer-a-love-trilogy-edic-usa-1976-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,80000,1,True,2040-11-07T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,2222.22,0.0,COP,
MCO595224794,Serie Completa Coleccionable De Todos Los 7 Libros De H P,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-595224794-serie-completa-coleccionable-de-todos-los-7-libros-de-h-p-_JM,buy_it_now,MCO,MCO5633,MCO-TV_SERIES,546900,1,True,2040-11-13T04:00:00.000Z,False,[],MCO1168,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,15191.67,0.0,COP,
MCO598482972,Lp Vinilo Iron Maiden No Prayer For The Dying Venezuela 1980,used,MCO21963726,gold_special,https://articulo.mercadolibre.com.co/MCO-598482972-lp-vinilo-iron-maiden-no-prayer-for-the-dying-venezuela-1980-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,200000,1,True,2040-12-10T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,5555.56,0.0,COP,
MCO1294926679,Dvd Película Lo Mejor De Jaime Garzón / Excelente ,used,,gold_special,https://articulo.mercadolibre.com.co/MCO-1294926679-dvd-pelicula-lo-mejor-de-jaime-garzon-excelente-_JM,buy_it_now,MCO,MCO1169,MCO-PHYSICAL_MOVIES,35900,1,True,2043-05-09T04:00:00.000Z,False,[],MCO1168,False,False,xd_drop_off,me2,['self_service_in'],,,639160850,GOODBETMUSIC,36.0,997.22,0.0,COP,DVD
MCO616629294,Marco Antonio Solis - Trozos De Mi Alma ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-616629294-marco-antonio-solis-trozos-de-mi-alma-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,True,2041-04-08T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
MCO625403973,Manowar Fighting The World Casete Edición Usa 1987,used,MCO22785916,gold_special,https://articulo.mercadolibre.com.co/MCO-625403973-manowar-fighting-the-world-casete-edicion-usa-1987-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,150000,1,True,2041-05-15T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,[],,,43989118,JOTAY2013,36.0,4166.67,0.0,COP,
MCO800715675,Fey - Faltan Lunas,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-800715675-fey-faltan-lunas-_JM,buy_it_now,MCO,MCO1176,MCO-MUSIC_ALBUMS,50000,1,True,2041-08-22T04:00:00.000Z,False,[],MCO1168,False,True,xd_drop_off,me2,['self_service_out'],,,181939816,HITMUSICAL DISCOTIENDA,12.0,4166.67,0.0,COP,
