level_id,power_seller_status,transactions_period,transactions_total,seller_id,user_type
5_green,silver,historic,1213,169476992,normal
5_green,silver,historic,954,339518655,normal
5_green,silver,historic,412,1349381281,normal
5_green,platinum,historic,13642,119800064,normal
5_green,,historic,356,1011184437,normal
5_green,silver,historic,3469,626929987,normal
5_green,gold,historic,3216,202273296,normal
5_green,gold,historic,2658,127637522,normal
5_green,,historic,1545,148805298,normal
5_green,gold,historic,3560,477582461,brand
5_green,,historic,272,609716481,normal
5_green,,historic,155,211597852,normal
5_green,,historic,1017,309672447,normal
3_yellow,,historic,3930,88193769,normal
5_green,platinum,historic,5703,545180103,normal
5_green,gold,historic,4552,1068907219,normal
5_green,silver,historic,433,1271550581,normal
5_green,,historic,777,580937627,normal
5_green,,historic,15276,777243455,normal
5_green,,historic,343,417157537,normal
5_green,,historic,1841,1284394754,normal
5_green,platinum,historic,21877,234566877,normal
5_green,platinum,historic,4571,166877629,normal
5_green,silver,historic,598,2759290,normal
5_green,,historic,568,667108690,normal
5_green,,historic,129,59054093,normal
5_green,gold,historic,685,1373082106,normal
5_green,silver,historic,361,1327390151,normal
5_green,,historic,685,359558476,normal
5_green,,historic,119,32109084,normal
5_green,platinum,historic,5358,1059924855,normal
5_green,silver,historic,953,162184514,normal
5_green,gold,historic,2019,1201272393,normal
5_green,gold,historic,4719,155418681,normal
5_green,,historic,109,96595605,normal
4_light_green,,historic,38,212317041,normal
5_green,,historic,1022,91152052,normal
5_green,gold,historic,1835,33222857,normal
5_green,silver,historic,5194,620184823,normal
5_green,platinum,historic,6823,256645317,normal
5_green,silver,historic,753,235708429,brand
5_green,gold,historic,3065,68924692,normal
5_green,silver,historic,1803,240454593,normal
5_green,platinum,historic,3844,696461005,normal
5_green,silver,historic,2162,269996938,normal
5_green,silver,historic,1384,777321736,normal
5_green,platinum,historic,7960,436967379,normal
5_green,gold,historic,3076,515196331,normal
5_green,gold,historic,6214,515019670,normal
5_green,gold,historic,8302,170562712,normal
5_green,,historic,648,670087075,normal
5_green,platinum,historic,2854,193563922,normal
5_green,,historic,154,77063867,normal
5_green,silver,historic,1108,112665606,normal
5_green,,historic,696,1388587919,normal
5_green,platinum,historic,6147,79787395,normal
5_green,,historic,130,238535789,normal
5_green,platinum,historic,11313,399831288,normal
5_green,platinum,historic,5386,154541799,normal
5_green,gold,historic,4314,569706214,normal
5_green,gold,historic,2028,228496996,normal
5_green,,historic,365,566866687,normal
5_green,silver,historic,1117,30589246,normal
5_green,,historic,381,433193167,normal
5_green,silver,historic,3154,250187905,normal
5_green,platinum,historic,36864,418664651,normal
5_green,gold,historic,6075,23988417,normal
5_green,silver,historic,1402,1435420816,normal
5_green,silver,historic,987,44530197,normal
5_green,silver,historic,1367,316759028,normal
5_green,,historic,298,780645585,normal
5_green,silver,historic,1504,442063558,normal
5_green,platinum,historic,4250,61338999,normal
5_green,silver,historic,1753,582512578,normal
5_green,silver,historic,1045,1418668711,normal
5_green,platinum,historic,4186,316229806,normal
5_green,,historic,641,1420260625,normal
5_green,silver,historic,511,282438568,normal
5_green,silver,historic,623,2417328,normal
4_light_green,,historic,2206,656231119,normal
5_green,,historic,650,594390874,normal
5_green,,historic,734,271704145,normal
5_green,silver,historic,1277,71866681,normal
5_green,platinum,historic,7674,406781619,normal
5_green,,historic,1611,431648653,normal
5_green,,historic,78,87769663,normal
5_green,,historic,32,38429514,normal
5_green,platinum,historic,3425,150536960,normal
5_green,platinum,historic,8974,631111873,normal
5_green,gold,historic,3199,522501967,brand
5_green,silver,historic,5138,296922908,normal
5_green,,historic,71,1582794610,normal
5_green,platinum,historic,7837,158163457,normal
5_green,gold,historic,3295,249915052,normal
5_green,platinum,historic,31652,515467467,normal
5_green,gold,historic,2728,699203816,normal
5_green,silver,historic,10452,455037891,normal
5_green,,historic,66,468340877,normal
5_green,gold,historic,6497,376490757,normal
5_green,silver,historic,2584,143546905,normal
5_green,,historic,61,55529013,normal
5_green,gold,historic,2482,1036965649,normal
5_green,silver,historic,870,136987196,normal
5_green,,historic,1074,76361242,normal
5_green,,historic,179,74243544,normal
4_light_green,,historic,1211,85062679,normal
5_green,platinum,historic,25039,88437052,normal
5_green,gold,historic,1041,589378935,normal
5_green,platinum,historic,5216,494308060,normal
5_green,,historic,77,204579487,normal
5_green,silver,historic,295,1456712042,normal
5_green,gold,historic,2571,520109866,normal
5_green,,historic,222,228385106,normal
5_green,platinum,historic,4467,315504023,normal
5_green,silver,historic,810,289730168,normal
5_green,platinum,historic,3402,47486797,normal
5_green,,historic,131,464739375,normal
5_green,platinum,historic,7662,364416930,normal
5_green,,historic,2061,1092164456,normal
5_green,gold,historic,5164,177739182,normal
5_green,platinum,historic,13054,353979889,normal
3_yellow,,historic,157,400026798,normal
5_green,gold,historic,1278,194173933,normal
5_green,platinum,historic,5578,480072686,normal
5_green,silver,historic,618,1447716187,normal
5_green,,historic,745,485767416,normal
5_green,silver,historic,1871,131354842,normal
5_green,,historic,165,176086956,normal
5_green,,historic,278,145863546,normal
5_green,silver,historic,1518,582283046,normal
5_green,silver,historic,1349,1189490266,normal
4_light_green,,historic,951,39987920,normal
5_green,,historic,656,4182383,normal
5_green,silver,historic,1370,156943219,normal
5_green,gold,historic,3914,88365754,normal
5_green,platinum,historic,4997,260750643,normal
5_green,silver,historic,2818,263751079,normal
5_green,silver,historic,5657,654854465,normal
5_green,,historic,239,1173680390,normal
5_green,silver,historic,150,42107463,normal
5_green,,historic,137,1366394021,normal
5_green,silver,historic,378,1382430428,normal
5_green,silver,historic,1559,1193318477,normal
5_green,,historic,217,1461870257,normal
5_green,gold,historic,4170,109361608,normal
5_green,silver,historic,2099,333911314,normal
