id,title,condition,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,accepts_mercadopago,stop_time,catalog_listing,promotions,official_store_name,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO1372050079,Teléfonos Antiguos ,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1372050079-telefonos-antiguos-_JM,buy_it_now,MCO,MCO442119,MCO-ANTIQUE_TELEPHONES,99000,,1,,True,2043-12-11T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,31746316,MARSILVAMORENO,36.0,2750.0,0.0,COP,Sin marca
MCO1379455009,Monedas De Un Cuarto De Dólar De Los Estados Unidos ,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1379455009-monedas-de-un-cuarto-de-dolar-de-los-estados-unidos-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,779000,,1,,True,2044-01-04T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,31746316,MARSILVAMORENO,36.0,21638.89,0.0,COP,
MCO512722085,Colombia  100 Pesos Oro 12 Octubre 1988,new,gold_special,https://articulo.mercadolibre.com.co/MCO-512722085-colombia-100-pesos-oro-12-octubre-1988-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,9000,,1,,True,2039-05-05T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,,,,,
MCO582213445,Réplica De 2 Dagas Cortas De Hoja Doble,new,gold_special,https://articulo.mercadolibre.com.co/MCO-582213445-replica-de-2-dagas-cortas-de-hoja-doble-_JM,buy_it_now,MCO,MCO442246,MCO-COLLECTIBLE_SWORDS,794900,,1,,True,2040-09-06T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,221747504,ANICAM-BUSINESS,36.0,22080.56,0.0,COP,
MCO1595316038,"Moneda Brasil 50 Centavos Año 2002, Usado ",used,gold_special,https://articulo.mercadolibre.com.co/MCO-1595316038-moneda-brasil-50-centavos-ano-2002-usado-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,8500,,1,,True,2043-05-13T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,285275226,IJGU IJGU,,,,,
MCO601182561,Llavero Lujo Elegante Cuero Marca Logo Emblema Volkswagen  ,new,gold_special,https://articulo.mercadolibre.com.co/MCO-601182561-llavero-lujo-elegante-cuero-marca-logo-emblema-volkswagen-_JM,buy_it_now,MCO,MCO172914,MCO-KEYCHAINS,24990,,1,,True,2043-04-03T16:21:48.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,['self_service_in'],,,262782175,GUZMANYULE,36.0,694.17,0.0,COP,Genérica
MCO1622342458,Colombia Moneda 5 Pesos 1982,used,gold_special,https://articulo.mercadolibre.com.co/MCO-1622342458-colombia-moneda-5-pesos-1982-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,78000,,1,,True,2043-05-23T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,2166.67,0.0,COP,
MCO610551989,"Colombia Trío De Números Consecutivos, 5 Pesos 1 Enero 1980",new,gold_special,https://articulo.mercadolibre.com.co/MCO-610551989-colombia-trio-de-numeros-consecutivos-5-pesos-1-enero-1980-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,28000,,1,,True,2041-02-27T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,777.78,0.0,COP,
MCO856982465,Vintage Radio Modelo Decoración Europea Vintage Radio,new,gold_pro,https://articulo.mercadolibre.com.co/MCO-856982465-vintage-radio-modelo-decoracion-europea-vintage-radio-_JM,buy_it_now,MCO,MCO429143,MCO-ANTIQUE_AUDIO_ANTENNAS,402202,,1,,True,2042-02-03T04:00:00.000Z,False,[],,MCO1367,False,True,cross_docking,me2,['mandatory_free_shipping'],,,776430312,SHIWAKICO,12.0,33516.83,0.0,COP,Other
MCO2087969930,Moneda 20 Pence 1988 Reino Unido Isabel Ii Pieza 2687,used,gold_pro,https://articulo.mercadolibre.com.co/MCO-2087969930-moneda-20-pence-1988-reino-unido-isabel-ii-pieza-2687-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,45000,,1,,True,2043-12-05T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,191820439,DIANAMARAGUERRA,12.0,3750.0,0.0,COP,
MCO626434280,Colombia Reposición 10 Pesos 1 Enero 1975,used,gold_special,https://articulo.mercadolibre.com.co/MCO-626434280-colombia-reposicion-10-pesos-1-enero-1975-_JM,buy_it_now,MCO,MCO9356,MCO-COLLECTIBLE_BILLS,180000,,1,,True,2041-05-18T04:00:00.000Z,False,[],,MCO1367,False,False,drop_off,me2,[],,,91086457,NIKY6919,36.0,5000.0,0.0,COP,
MCO1341610615,"Póster Panorámico De La Última Cena, Jesús Y Sus Apóstoles",new,gold_pro,https://articulo.mercadolibre.com.co/MCO-1341610615-poster-panoramico-de-la-ultima-cena-jesus-y-sus-apostoles-_JM,buy_it_now,MCO,MCO168946,MCO-POSTERS,111360,128000.0,1,,True,2043-09-19T04:00:00.000Z,False,[],,MCO1367,False,True,xd_drop_off,me2,['mandatory_free_shipping'],,,661145626,POSTERSTUDIO27,12.0,9280.0,0.0,COP,Poster Studio27
MCO2101146240,50 Centavos 1979 Híbrida O Mula,used,gold_special,https://articulo.mercadolibre.com.co/MCO-2101146240-50-centavos-1979-hibrida-o-mula-_JM,buy_it_now,MCO,MCO9355,MCO-COINS,330000,,1,,True,2043-12-12T04:00:00.000Z,False,[],,MCO1367,False,False,xd_drop_off,me2,[],,,65616184,WORLD COLLECTIONS200,36.0,9166.67,0.0,COP,
