id,title,condition,catalog_product_id,listing_type_id,permalink,buying_mode,site_id,category_id,domain_id,price,original_price,available_quantity,official_store_id,official_store_name,accepts_mercadopago,stop_time,catalog_listing,promotions,category,shipping_store_pick_up,shipping_free_shipping,shipping_logistic_type,shipping_mode,shipping_tags,shipping_benefits,shipping_promise,seller_id,seller_nickname,installments_quantity,installments_amount,installments_rate,installments_currency_id,brand_value_name
MCO609352443,Enhebrador De Agujas Automático X3 Unidades,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-609352443-enhebrador-de-agujas-automatico-x3-unidades-_JM,buy_it_now,MCO,MCO441123,MCO-SEWING_NEEDLES,9900,,50,,,True,2043-11-07T13:31:36.899Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,672911390,COSER ENLINEA,,,,,
MCO852279005,Marcadores Crayola Super Tips Punta Cónica 100 Unds Original,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-852279005-marcadores-crayola-super-tips-punta-conica-100-unds-original-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,137999,229999.0,1,,,True,2042-02-21T14:37:14.000Z,False,[],MCO1368,False,True,xd_drop_off,me2,"['self_service_in', 'mandatory_free_shipping']",,,687378570,BEAUTYBLOOM89,36.0,3833.31,0.0,COP,Crayola
MCO568153024,Lápiz Faber Castell 9000 Caja X 6 Unds. Dibujo,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-568153024-lapiz-faber-castell-9000-caja-x-6-unds-dibujo-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,16500,,1,,,True,2040-06-21T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,[],,,556463490,BOCETOS_PAPELERIA,,,,,Faber-Castell
MCO1023343173,Hojas De Papel Doradas Decorativas Artesanal Oro Diy 100 U,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1023343173-hojas-de-papel-doradas-decorativas-artesanal-oro-diy-100-u-_JM,buy_it_now,MCO,MCO441185,MCO-SCHOOL_AND_OFFICE_SUPPLIES,32990,,50,,,True,2042-10-22T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,611370359,PERDUOUTLET COM.,12.0,2749.17,0.0,COP,perdu out let
MCO983654895,"Pegante Para Tela Quita Hilachas, Sellador, Barniz Decopage",new,,gold_special,https://articulo.mercadolibre.com.co/MCO-983654895-pegante-para-tela-quita-hilachas-sellador-barniz-decopage-_JM,buy_it_now,MCO,MCO441229,MCO-GLUES_AND_ADHESIVES,10200,,1,,,True,2042-10-03T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_in'],,,43853616,MACA BORDADOS,,,,,Art Color
MCO543885951,Marcadores  Borrable Recargable Offiesco Caja X10 Unidad,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-543885951-marcadores-borrable-recargable-offiesco-caja-x10-unidad-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,34500,,1,,,True,2040-02-09T02:10:22.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,492751534,TIENDALAELEGANCIACOM,12.0,2875.0,0.0,COP,Nacional
MCO454659810,Anilladora + 50 Caratulas + Anillo Plástico,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-454659810-anilladora-50-caratulas-anillo-plastico-_JM,buy_it_now,MCO,MCO412574,MCO-COIL_BINDING_MACHINES,340000,,1,,,True,2037-08-15T18:43:51.000Z,False,[],MCO1368,False,True,fulfillment,me2,"['fulfillment', 'self_service_out', 'mandatory_free_shipping']",,,148361550,INVCOMERCIALES,36.0,9444.44,0.0,COP,
MCO1369008045,Libros Mágicos Reutilizables Para Niñ@ Caligrafía ,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1369008045-libros-magicos-reutilizables-para-nin-caligrafia-_JM,buy_it_now,MCO,MCO414164,MCO-SCHOOL_KITS,35685,54900.0,1,,,True,2043-12-01T04:00:00.000Z,False,[],MCO1368,False,False,fulfillment,me2,"['fulfillment', 'self_service_in']",,,191249857,COMERCIALIZADORA DANSA,36.0,1067.5,0.0,COP,
MCO2200829408,Juego De Lapices Mecanicos Paper Mate Handwriting 1.3mm 5p,new,MCO28972362,gold_pro,https://www.mercadolibre.com.co/juego-de-lapices-mecanicos-paper-mate-handwriting-13mm-5p/p/MCO28972362,buy_it_now,MCO,MCO418595,MCO-MECHANICAL_PENCILS,47000,,1,,,True,2044-02-01T04:00:00.000Z,True,[],MCO1368,False,False,xd_drop_off,me2,[],,,1225018237,DISERCONSULTORESSAS,12.0,3916.67,0.0,COP,Paper Mate
MCO548086742,Plumones Lavables Jumbo Triangular Offi-esco X 12 Marcadores,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-548086742-plumones-lavables-jumbo-triangular-offi-esco-x-12-marcadores-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,14500,,1,,,True,2040-01-03T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,492751534,TIENDALAELEGANCIACOM,,,,,Offiesco
MCO548445336,Caja Colores Kores X50 Und ,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-548445336-caja-colores-kores-x50-und-_JM,buy_it_now,MCO,MCO172626,MCO-PENCILS,48490,,1,,,True,2040-01-06T04:00:00.000Z,False,[],MCO1368,False,False,cross_docking,me2,['self_service_in'],,,492751534,TIENDALAELEGANCIACOM,12.0,4040.83,0.0,COP,Kores
MCO2139032072,Colores Pastel Kores 12 Piezas,new,MCO26199095,gold_pro,https://www.mercadolibre.com.co/colores-pastel-kores-12-piezas/p/MCO26199095,buy_it_now,MCO,MCO441840,MCO-PENCILS,8977,9450.0,50,,,True,2044-01-03T04:00:00.000Z,True,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,658379763,ANALEPAPELERIA13,,,,,Kores
MCO1996690494,Agujas De Tejer De Aluminio Kit De Manualidades De Crochet,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-1996690494-agujas-de-tejer-de-aluminio-kit-de-manualidades-de-crochet-_JM,buy_it_now,MCO,MCO441120,MCO-KNITTING_NEEDLES,43200,,50,,,True,2043-12-01T04:05:08.454Z,False,[],MCO1368,False,False,fulfillment,me2,['fulfillment'],,,1487398890,ESTRADAFATIMAH20231005161554,36.0,1200.0,0.0,COP,Fatimah
MCO608796006,Marcadores Borrables Set X6 Colores Variados Punta Delgada,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-608796006-marcadores-borrables-set-x6-colores-variados-punta-delgada-_JM,buy_it_now,MCO,MCO172631,MCO-MARKERS_AND_HIGHLIGHTERS,23900,,1,,,True,2041-02-19T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_out'],,,114721810,DUETSHOP,12.0,1991.67,0.0,COP,Studio
MCO579671421,Cinta Adhesiva Transparente X 100 Mts,new,,gold_special,https://articulo.mercadolibre.com.co/MCO-579671421-cinta-adhesiva-transparente-x-100-mts-_JM,buy_it_now,MCO,MCO180001,MCO-ADHESIVE_TAPES,6500,,5000,,,True,2041-04-23T12:32:43.000Z,False,[],MCO1368,False,False,drop_off,me2,[],,,139910239,SUSOLUCION123,,,,,Colombiana
MCO1287316837,Parafina Liquida Combustible Antorchas Y Lamparas,new,,gold_pro,https://articulo.mercadolibre.com.co/MCO-1287316837-parafina-liquida-combustible-antorchas-y-lamparas-_JM,buy_it_now,MCO,MCO432237,MCO-CANDLE_WAXES,16900,,1,,,True,2043-04-18T04:00:00.000Z,False,[],MCO1368,False,False,xd_drop_off,me2,['self_service_in'],,,489266488,ESTEFANIARBELAEZ,,,,,Hobby
